,LEAD_REFERENCE_NUMBER,CAMPAIGN_CODE,CIF,MARKETING_MESSAGE_LINE1,MARKETING_MESSAGE_LINE2,MARKETING_MESSAGE_LINE3,MARKETING_MESSAGE_LINE4,MARKETING_MESSAGE_LINE5,MARKETING_MESSAGE_LINE6,BRANCH_CODE,PERSONALIZED_MESSAGE,PRODUCT_OFFER,PROVINCE_CODE,REGION,CAMPAIGN_TYPE,LEAD_STATUS_CODE,OWNER_EMPLOYEE_ID,REFER_NAME,RESPONSE_DATE_TIME,RESPONSE_CODE
3370,LMPR004068804,,12470185,,,,,,,687,,PRNSCHN,,50303,,1,311894,,2018-03-22T10:25:08Z,
3523,LMAY004013819,,3716910,,,,,,,783,,AYFSDIV,,60501,,1,310227,,2018-02-12T16:09:02Z,
3526,LMMT004015606,,7368595,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-02-13T14:27:43Z,
3553,LMAY004022917,,8676490,,,,,,,769,,AYFPLUS,,50303,,1,11030939,,2018-02-16T10:17:31Z,
3593,LMMT004016807,,13046179,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-02-13T18:47:25Z,
3623,LMAY004015074,,14492890,,,,,,,493,,AYFELMF,,50303,,1,11076031,,2018-02-13T10:52:18Z,
3695,LMAY004014974,,12861357,,,,,,,493,,AYFSLMF,,50303,,1,11076031,,2018-02-13T10:15:11Z,
3710,LMAY004022921,,3620513,,,,,,,769,,AYFELMF,,50303,,1,11030939,,2018-02-16T10:19:12Z,
3739,LMMT004025287,,13688357,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-02-17T14:06:26Z,
3760,LMMT004109003,,6927483,,,,,,,474,,MTFOTFD,,50303,,1,315713,,2018-04-20T12:46:37Z,
3777,LMAY004020253,,4139285,,,,,,,14,,AYFSLMF,,50303,,1,131722,,2018-02-15T12:13:37Z,
3810,LMAY004018726,,18504163,,,,,,,629,,AYFELMF,,60501,,1,11172665,,2018-02-14T17:22:37Z,
3817,LMMT004025262,,15452837,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-02-17T13:21:08Z,
3898,LMMT004028776,,12141417,,,,,,,474,,MTFOTFD,,50303,,1,315713,,2018-02-20T16:28:04Z,
